"","bsr","currency","dim_unit","dim_x","dim_y","dim_z","price","reviews","reviews_count","weight","weight_unit","sales"
"1747",841,"EUR",NA,NA,NA,NA,NA,4.3,475,NA,NA,412
"1748",230,"EUR",NA,NA,NA,NA,NA,4.3,450,NA,NA,736.5
"1749",NA,"EUR",NA,NA,NA,NA,NA,4.5,210,NA,NA,NA
"1750",NA,"EUR",NA,NA,NA,NA,13.97,4.3,450,NA,NA,NA
"1751",NA,"EUR",NA,NA,NA,NA,15.97,4.5,988,NA,NA,NA
"1752",90382,"EUR",NA,NA,NA,NA,29.92,4.1,8,NA,NA,73
"1753",NA,"EUR",NA,NA,NA,NA,NA,4.7,26,NA,NA,NA
"1754",NA,NA,NA,NA,NA,NA,NA,4.2,NA,NA,NA,NA
"1755",366,"EUR","cm",NA,NA,NA,10.97,4.7,147,141,"g",799
"1756",3290,"EUR",NA,NA,NA,NA,18.19,NA,NA,NA,NA,132.5
"1757",140,"EUR",NA,NA,NA,NA,NA,4.2,231,NA,NA,1536.5
"1758",10155,"EUR","cm",NA,NA,24,24.99,4.3,NA,358,"g",73
"1759",NA,"EUR",NA,NA,NA,NA,28.95,4.4,289,NA,NA,NA
"1760",NA,"EUR",NA,NA,NA,NA,17.9,4.3,23,NA,NA,NA
"1761",NA,"EUR",NA,NA,NA,NA,9.99,NA,NA,NA,NA,NA
"1762",NA,"EUR",NA,NA,NA,NA,9.9,4.3,23,NA,NA,NA
"1763",NA,"EUR",NA,NA,NA,NA,6.59,NA,6,NA,NA,NA
"1764",55034,"EUR",NA,NA,NA,NA,29.99,4.2,71,4.2,"von",71.5
"1765",NA,NA,NA,NA,NA,NA,NA,3.9,NA,NA,NA,NA
"1766",17257,"EUR",NA,NA,NA,NA,7.5,4.9,10,4.9,"von",71.5
"1767",NA,"EUR",NA,NA,NA,NA,14.9,NA,4,NA,NA,NA
"1768",NA,"EUR",NA,NA,NA,NA,6.55,NA,NA,NA,NA,NA
"1769",NA,"EUR",NA,NA,NA,NA,14.9,2.9,8,NA,NA,NA
"1770",NA,"EUR",NA,NA,NA,NA,21.99,4.2,71,NA,NA,NA
"1771",NA,"EUR",NA,NA,NA,NA,12.49,4.4,28,NA,NA,NA
"1772",252961,"EUR",NA,NA,NA,NA,14.9,3.9,12,3.9,"von",71.5
"1773",NA,"EUR",NA,NA,NA,NA,14.9,NA,2,NA,NA,NA
"1774",NA,NA,NA,NA,NA,NA,NA,3.7,NA,NA,NA,NA
"1775",NA,"EUR",NA,NA,NA,NA,24.49,3.4,10,NA,NA,NA
"1776",51511,"EUR",NA,NA,NA,NA,29.99,NA,27,NA,NA,71.5
"1777",100417,"EUR",NA,NA,NA,NA,0.99,NA,NA,NA,NA,71.5
"1778",NA,"EUR",NA,NA,NA,NA,14.9,4.7,NA,NA,NA,NA
"1779",NA,"EUR",NA,NA,NA,NA,9.99,4.1,3,NA,NA,NA
"1780",NA,"EUR",NA,NA,NA,NA,21.9,4.3,NA,NA,NA,NA
"1781",NA,"EUR",NA,NA,NA,NA,13.99,NA,8,NA,NA,NA
"1782",NA,"EUR",NA,NA,NA,NA,11.58,4.5,NA,NA,NA,NA
"1783",NA,"EUR",NA,NA,NA,NA,10.99,4.9,26,NA,NA,NA
"1784",NA,"EUR",NA,NA,NA,NA,14.99,4.1,16,NA,NA,NA
"1785",NA,"EUR",NA,NA,NA,NA,8.9,3.3,NA,NA,NA,NA
"1786",12697,"EUR",NA,NA,NA,NA,11.35,4.5,NA,NA,NA,22.5
"1787",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1788",NA,"EUR",NA,NA,NA,NA,24.95,NA,NA,NA,NA,NA
"1789",17656,"EUR",NA,NA,NA,NA,29.95,4.1,18,NA,NA,122.5
"1790",15948,"EUR",NA,NA,NA,NA,10.99,4.7,27,NA,NA,122.5
"1791",499,"EUR",NA,NA,NA,NA,17.97,4.2,220,NA,NA,675.5
"1792",31392,"EUR",NA,NA,NA,NA,15.79,4.7,20,NA,NA,122.5
"1793",217,"EUR",NA,NA,NA,NA,16.9,4.5,8,NA,NA,885
"1794",1650,"EUR",NA,NA,NA,NA,9.8,4.5,96,NA,NA,367.5
"1795",NA,"EUR",NA,NA,NA,NA,24.95,NA,NA,NA,NA,NA
"1796",NA,"EUR",NA,NA,NA,NA,17.97,4.2,219,NA,NA,NA
"1797",27071,"EUR",NA,NA,NA,NA,23.99,NA,4,259,"g",122.5
"1798",4092,"EUR",NA,NA,NA,NA,29.99,4.6,50,NA,NA,193.5
"1799",66188,NA,NA,NA,NA,NA,NA,3.8,16,NA,NA,122.5
"1800",NA,"EUR",NA,NA,NA,NA,17.97,4.2,219,NA,NA,NA
"1801",143210,"EUR",NA,NA,NA,NA,25.5,5,2,NA,NA,22.5
"1802",48147,"EUR",NA,NA,NA,NA,15.99,NA,2,259,"g",122.5
"1803",51131,"EUR",NA,NA,NA,NA,21.99,4.5,12,NA,NA,122.5
"1804",198849,"EUR",NA,NA,NA,NA,19.9,5,2,NA,NA,122.5
"1805",7805,"EUR",NA,NA,NA,NA,15.99,4.3,28,NA,NA,71.5
"1806",2079,"EUR",NA,NA,NA,NA,13.99,4.2,50,NA,NA,339.5
"1807",NA,"EUR",NA,NA,NA,NA,11.39,4.5,NA,NA,NA,NA
"1808",3522,"EUR",NA,NA,NA,NA,10.2,4.3,25,4.3,"von",138.5
"1809",5174,"EUR",NA,NA,NA,NA,9.99,4.2,19,NA,NA,235
"1810",1173,"EUR",NA,NA,NA,NA,NA,4.3,301,NA,NA,355
"1811",574,"EUR",NA,NA,NA,NA,14.99,4,648,NA,NA,645
"1812",10743,"EUR",NA,NA,NA,NA,6.79,5,19,5,"von",22.5
"1813",90799,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,122.5
"1814",3244,"EUR",NA,NA,NA,NA,17.99,4.5,59,662,"g",367.5
"1815",12418,"EUR",NA,NA,NA,NA,29.99,4,9,NA,NA,122.5
"1816",1323891,"EUR",NA,NA,NA,NA,12.75,NA,NA,NA,NA,122.5
"1817",309,"EUR",NA,NA,NA,NA,16.9,5,4,NA,NA,930.5
"1818",NA,"EUR",NA,NA,NA,NA,11.99,NA,3,NA,NA,NA
"1819",191116,NA,NA,NA,NA,NA,NA,3.4,NA,NA,NA,122.5
"1820",1161,"EUR",NA,NA,NA,NA,38.9,NA,4,NA,NA,355
"1821",544,"EUR",NA,NA,NA,NA,3.79,4.4,NA,NA,NA,564
"1822",61924,"EUR",NA,NA,NA,NA,12.95,5,1,NA,NA,22.5
"1823",331461,"EUR",NA,NA,NA,NA,7.99,NA,NA,NA,NA,122.5
"1824",28408,"EUR",NA,NA,NA,NA,9.95,NA,9,NA,NA,71.5
"1825",770,"EUR",NA,NA,NA,NA,21.8,4.1,NA,NA,NA,282
"1826",84906,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,59
"1827",650287,"EUR",NA,NA,NA,NA,19.95,NA,NA,NA,NA,22.5
"1828",32968,NA,NA,NA,NA,NA,NA,3.8,NA,NA,NA,59
"1829",48806,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,59
"1830",9446,"EUR",NA,NA,NA,NA,13.29,4.1,NA,NA,NA,71.5
"1831",NA,"EUR",NA,NA,NA,NA,13,4.2,NA,NA,NA,NA
"1832",NA,"EUR",NA,NA,NA,NA,10.35,4.2,NA,NA,NA,NA
"1833",NA,"EUR",NA,NA,NA,NA,11.99,3.8,NA,NA,NA,NA
"1834",290,NA,NA,NA,NA,NA,NA,3.9,NA,NA,NA,672.5
"1835",34,NA,NA,NA,NA,NA,NA,4.5,NA,NA,NA,3030
"1836",42,"EUR",NA,NA,NA,NA,15.92,4.3,NA,NA,NA,3030
"1837",1926,NA,NA,NA,NA,NA,NA,3.6,NA,NA,NA,198.5
"1838",NA,"EUR",NA,NA,NA,NA,7.95,4.8,NA,NA,NA,NA
"1839",NA,"EUR",NA,NA,NA,NA,17.97,4.2,219,NA,NA,NA
"1840",NA,"EUR",NA,NA,NA,NA,21.9,4.3,NA,NA,NA,NA
"1841",276056,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,122.5
"1842",412,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,470
